,name,address
308,홍콩반점0410,서울특별시 양천구 목동중앙북로7길 10
309,역전우동0410,서울특별시 동작구 국사봉1길 28
310,새마을식당,서울특별시 강서구 마곡중앙로 165
311,빽다방,서울특별시 강서구 강서로 395
312,미정국수0410,서울특별시 영등포구 국제금융로 86
313,홍콩반점0410,서울특별시 강서구 마곡중앙로 161-11
314,역전우동0410,서울특별시 강남구 선릉로64길 17
315,한신포차,서울 성북구 동소문로20길 29-18
316,빽다방,서울특별시 강서구 마곡중앙5로1길 20
317,빽다방,서울특별시 노원구 상계로3길 21
318,홍콩반점0410,서울특별시 강서구 내발산동 722-20
319,빽다방,서울특별시 중랑구 면목로 330-1
320,역전우동0410,서울특별시 송파구 송파대로 111
321,빽다방,서울특별시 중구 다산로 131
322,역전우동0410,서울특별시 강남구 테헤란로10길 25
323,새마을식당,서울특별시 서초구 서초대로54길 24
324,홍콩반점0410,서울특별시 용산구 백범로90길 38
325,빽다방,서울특별시 은평구 진관동 87-3
326,빽다방,서울특별시 동대문구 왕산로 20
327,홍콩반점0410,서울특별시 관악구 남부순환로 1922
328,빽다방,서울특별시 송파구 마천로 25
329,돌배기집,서울특별시 강서구 공항대로46길 47
330,홍콩반점0410,서울특별시 노원구 노해로 502
331,빽다방,서울특별시 용산구 보광로59길 37
332,홍콩반점0410,서울특별시 구로구 구로동로26길 125
333,빽다방,서울특별시 구로구 구로동로26길 125
334,역전우동0410,서울특별시 강서구 강서로 39
335,빽다방,서울특별시 강서구 강서로 48
336,빽다방,서울특별시 구로구 오리로 1149
337,백철판0410,서울특별시 동작구 만양로 108
338,홍콩반점0410,서울특별시 종로구 종로 344
339,빽다방,서울특별시 양천구 목동동로 293
340,역전우동0410,서울특별시 강서구 화곡로 160
341,역전우동0410,서울특별시 노원구 한글비석로 264
342,빽다방,서울특별시 영등포구 당산로 113
343,빽다방,서울특별시 양천구 공항대로 564
344,빽다방,서울특별시 영등포구 양평로 28-1
345,빽다방,서울특별시 송파구 법원로11길 11
346,빽다방,서울특별시 구로구 디지털로32길 79
347,역전우동0410,서울특별시 구로구 디지털로32길 79
348,홍콩반점0410,서울특별시 금천구 시흥대로62길 18
349,홍콩반점0410,서울특별시 광진구 아차산로51길 11
350,홍콩반점0410,서울특별시 구로구 시흥대로 557
351,홍콩반점0410,서울특별시 서초구 서초대로54길 32
352,홍콩반점0410,서울특별시 관악구 관악로 152
353,홍콩반점0410,서울 성북구 고려대로24가길 6
354,홍콩반점0410,서울특별시 동대문구 경희대로 12-1
355,홍콩반점0410,서울특별시 광진구 아차산로 221
