,name,address,lat,lng
275,빽다방,서울특별시 강서구 화곡로25길 2,error,error
276,빽다방,서울특별시 동작구 보라매로5가길 7,error,error
277,새마을식당,서울특별시 종로구 우정국로2길 42,error,error
278,리춘시장,서울특별시 관악구 관악로14길 22,error,error
279,빽다방,서울특별시 노원구 노해로79길 6-19,37.6550777,127.062258
280,역전우동0410,서울특별시 강서구 공항대로 269-15,error,error
281,한신포차,서울특별시 동대문구 경희대로1길 10,error,error
282,빽다방,서울특별시 관악구 남부순환로 1729,error,error
283,역전우동0410,서울특별시 강서구 마곡중앙5로 6,error,error
284,새마을식당,서울특별시 강서구 마곡동 797-7,error,error
285,한신포차,서울특별시 동작구 만양로 106,error,error
286,원조쌈밥집,서울특별시 종로구 창신길 9-4,37.5794273,127.0094352
287,역전우동0410,서울특별시 송파구 장지동 896,error,error
288,빽다방,서울특별시 동대문구 장한로 140,37.5728749,127.0720104
289,빽다방,서울특별시 서초구 사평대로 367,error,error
290,홍콩반점0410,서울특별시 송파구 위례성대로12길 18,error,error
291,새마을식당,서울특별시 성동구 마조로1길 29,error,error
292,백스비어,서울특별시 관악구 남현1길 58,error,error
293,한신포차,서울특별시 강서구 마곡중앙로 161-8,error,error
294,한신포차,서울특별시 강서구 강서로 17-1,error,error
295,역전우동0410,서울특별시 마포구 어울마당로 127-1,error,error
296,백스비어,서울특별시 강북구 도봉로8길 2,error,error
297,빽다방,서울특별시 은평구 은평로 56,error,error
298,롤링파스타,서울특별시 광진구 능동로 127,error,error
299,역전우동0410,서울특별시 동작구 보라매로5가길 16,error,error
300,빽다방,서울특별시 서초구 강남대로 605,37.5111077,127.0211737
301,홍콩반점0410,서울특별시 강서구 공항대로 269-15,error,error
302,홍콩반점0410,서울특별시 중랑구 면목로 337,error,error
303,홍콩반점0410,서울특별시 마포구 마포대로14길 11,error,error
304,빽다방,서울특별시 관악구 난곡로 363,37.4683168,126.9201938
305,역전우동0410,서울특별시 관악구 관악로 148,error,error
306,빽다방,서울특별시 영등포구 의사당대로 38,37.5228012,126.9230723
307,홍콩반점0410,서울특별시 양천구 중앙로 254,error,error
308,홍콩반점0410,서울특별시 양천구 목동중앙북로7길10,error,error
309,역전우동0410,서울특별시 동작구 국사봉1길 28,error,error
310,새마을식당,서울특별시 강서구 마곡중앙로 165,error,error
311,빽다방,서울특별시 강서구 강서로 395,error,error
312,미정국수0410,서울특별시 영등포구 국제금융로 86,error,error
313,홍콩반점0410,서울특별시 강서구 마곡중앙로 161-11,error,error
314,역전우동0410,서울특별시 강남구 선릉로64길 17,error,error
315,한신포차,서울특별시 동소문로 20길,error,error
316,빽다방,서울특별시 강서구 마곡중앙5로1길 20,error,error
317,빽다방,서울특별시 노원구 상계로3길 21,error,error
318,홍콩반점0410,서울특별시 강서구 내발산동 722-20,37.5538883,126.8377001
319,빽다방,서울특별시 중랑구 면목로 330-1,error,error
320,역전우동0410,서울특별시 송파구 송파대로 111,error,error
321,빽다방,서울특별시 중구 다산로 131,37.5507793,127.0076435
322,역전우동0410,서울특별시 강남구 테헤란로10길 25,error,error
323,새마을식당,서울특별시 서초구 서초대로54길 24,error,error
324,홍콩반점0410,서울특별시 용산구 백범로90길 38,error,error
325,빽다방,서울특별시 은평구 진관동 87-3,error,error
326,빽다방,서울특별시 동대문구 왕산로 20,37.5797042,127.0435033
327,홍콩반점0410,서울특별시 관악구 남부순환로 1922,37.4848099,126.9272012
328,빽다방,서울특별시 송파구 마천로 25,error,error
329,돌배기집,서울특별시 강서구 공항대로46길 47,37.5529815,126.8515087
330,홍콩반점0410,서울특별시 노원구 노해로 502,error,error
331,빽다방,서울특별시 용산구 보광로59길 37,error,error
